"driverref","avg_position"
"collomb",18.8333333333333333
"daywalt",18.8571428571428571
"schiattarella",18.8571428571428571
"berg",18.8888888888888889
"ertl",18.9310344827586207
"niemann",19.0000000000000000
"armi",19.0000000000000000
"wietzes",19.0000000000000000
"Changy",19.0000000000000000
"vyver",19.0000000000000000
"cheesbourg",19.0000000000000000
"lucas",19.0000000000000000
"cade",19.0000000000000000
"mackey",19.0000000000000000
"bridger",19.0000000000000000
"edmunds",19.0000000000000000
"keegan",19.1351351351351351
"montermini",19.2500000000000000
"pretorius",19.2500000000000000
"grassi",19.3157894736842105
"naylor",19.3333333333333333
"hoffmann",19.3333333333333333
"lombardi",19.3529411764705882
"brabham",19.4000000000000000
"keller",19.4000000000000000
"opel",19.4615384615384615
"force",19.5000000000000000
"weyant",19.5000000000000000
"forini",19.5000000000000000
"serra",19.5937500000000000
"leston",19.6666666666666667
"ribeiro",19.7000000000000000
"raby",19.7142857142857143
"corrado_fabi",19.7777777777777778
"edwards",19.8125000000000000
"stohr",19.8461538461538462
"marsh",19.8888888888888889
"lammers",19.9024390243902439
"ken_miles",20.0000000000000000
"pon",20.0000000000000000
"chimeri",20.0000000000000000
"kessler",20.0000000000000000
"schlesser",20.0000000000000000
"chapman",20.0000000000000000
"jover",20.0000000000000000
"john_james",20.0000000000000000
"henton",20.0540540540540541
"seidel",20.0769230769230769
"merzario",20.0952380952380952
"herman",20.2000000000000000
"campbell-jones",20.2000000000000000
"perkins",20.2000000000000000
"gaillard",20.2000000000000000
"charlton",20.3076923076923077
"cantoni",20.3333333333333333
"salazar",20.3513513513513514
"guerrero",20.4827586206896552
"wunderink",20.5000000000000000
"jo_schlesser",20.5000000000000000
"purley",20.6363636363636364
"suzuki",20.6590909090909091
"bianco",20.7500000000000000
"sachs",20.7500000000000000
"campos",20.8571428571428571
"leslie_johnson",21.0000000000000000
"holmes",21.0000000000000000
"amick",21.0000000000000000
"hutchison",21.0000000000000000
"pian",21.0000000000000000
"barilla",21.0000000000000000
"slotemaker",21.0000000000000000
"riu",21.0000000000000000
"grim",21.0000000000000000
"schoeller",21.0000000000000000
"magee",21.0000000000000000
"creus",21.0000000000000000
"mike_taylor",21.0000000000000000
"larini",21.0400000000000000
"grouillard",21.2096774193548387
"roig",21.2222222222222222
"reventlow",21.2500000000000000
"bussinello",21.2500000000000000
"ratzenberger",21.3333333333333333
"koinigg",21.3333333333333333
"nuckey",21.5000000000000000
"pirocchi",21.5000000000000000
"bell",21.5000000000000000
"lees",21.5833333333333333
"ghinzani",21.6216216216216216
"fonder",21.6666666666666667
"gaze",21.7500000000000000
"hoyt",21.8000000000000000
"richardson",22.0000000000000000
"fontes",22.0000000000000000
"jackson",22.0000000000000000
"karch",22.0000000000000000
"greene",22.0000000000000000
"whiteaway",22.0000000000000000
"vonlanthen",22.0000000000000000
"turner",22.0000000000000000
"rollinson",22.0000000000000000
"hellings",22.0000000000000000
"ader",22.0000000000000000
"ian_stewart",22.0000000000000000
"dochnal",22.0000000000000000
"england",22.0000000000000000
"riseley_prichard",22.0000000000000000
"lotterer",22.0000000000000000
"pietsch",22.0000000000000000
"moreno",22.0405405405405405
"ongais",22.1666666666666667
"hayje",22.4285714285714286
"belso",22.5000000000000000
"dinsmore",22.5000000000000000
"williamson",22.5000000000000000
"mcwithey",22.5000000000000000
"gibson",22.5000000000000000
"walt_brown",22.5000000000000000
"byrne",22.6000000000000000
"parnell",22.7500000000000000
"webb",22.7500000000000000
"gachot",22.7857142857142857
"needell",23.0000000000000000
"lucienbonnet",23.0000000000000000
"bob_scott",23.0000000000000000
"sospiri",23.0000000000000000
"james",23.0000000000000000
"andrews",23.0000000000000000
"bassi",23.0000000000000000
"emery",23.0000000000000000
"kessel",23.0000000000000000
"driver",23.0000000000000000
"dick_rathmann",23.0000000000000000
"estefano",23.0000000000000000
"gubby",23.0000000000000000
"may",23.2500000000000000
"shelly",23.3333333333333333
"bechem",23.5000000000000000
"testut",23.5000000000000000
"dalmas",23.5200000000000000
"magill",23.6666666666666667
"mcdowell",23.6666666666666667
"bailey",23.8500000000000000
"tarquini",23.8589743589743590
"scott_Brown",24.0000000000000000
"dempsey_wilson",24.0000000000000000
"heyer",24.0000000000000000
"ashley",24.0000000000000000
"weiler",24.0000000000000000
"starrabba",24.0000000000000000
"thiele",24.0000000000000000
"nicholson",24.0000000000000000
"vos",24.0000000000000000
"crook",24.0000000000000000
"carini",24.3333333333333333
"chamberlain",24.3333333333333333
"belmondo",24.3333333333333333
"schiller",24.5000000000000000
"hans_stuck",24.5000000000000000
"ashmore",24.6000000000000000
"noda",24.6666666666666667
"barbazza",24.7500000000000000
"acheson",24.7777777777777778
"roos",25.0000000000000000
"dolhem",25.0000000000000000
"craft",25.0000000000000000
"westbury",25.0000000000000000
"monarch",25.0000000000000000
"ray_crawford",25.0000000000000000
"wilds",25.1250000000000000
"thackwell",25.4000000000000000
"leoni",25.4000000000000000
"gabbiani",25.5882352941176471
"elisian",25.6000000000000000
"russo",25.7500000000000000
"guerra",25.7500000000000000
"paletti",25.8750000000000000
"apicella",26.0000000000000000
"bill_moss",26.0000000000000000
"ernesto_brambilla",26.0000000000000000
"crespo",26.0000000000000000
"puzey",26.0000000000000000
"kennedy",26.1428571428571429
"chiesa",26.2000000000000000
"abate",26.5000000000000000
"fushida",26.5000000000000000
"cogan",26.5000000000000000
"villota",26.5714285714285714
"brancatelli",26.6666666666666667
"levrett",27.0000000000000000
"zapico",27.0000000000000000
"south",27.0000000000000000
"nelleman",27.0000000000000000
"facetti",27.0000000000000000
"fitzau",27.0000000000000000
"desire_wilson",27.0000000000000000
"cantrell",27.0000000000000000
"larrauri",27.0952380952380952
"bleekemolen",27.2000000000000000
"pilette",27.5000000000000000
"miller",27.5000000000000000
"larrousse",27.5000000000000000
"foitek",27.6363636363636364
"galica",27.6666666666666667
"stuppacher",27.6666666666666667
"villeneuve_sr",27.6666666666666667
"poele",27.6896551724137931
"mcrae",28.0000000000000000
"ecclestone",28.0000000000000000
"gimax",28.0000000000000000
"bordeu",28.0000000000000000
"dennis_taylor",28.0000000000000000
"adolff",28.0000000000000000
"peters",28.0000000000000000
"aston",28.3333333333333333
"kuhnke",28.5000000000000000
"schneider",28.5000000000000000
"bartels",28.7500000000000000
"trimmer",28.8333333333333333
"andersson",29.0000000000000000
"lippi",29.0000000000000000
"reed",29.0000000000000000
"taramazzo",29.0000000000000000
"kinnunen",29.1666666666666667
"colombo",29.3333333333333333
"londono",30.0000000000000000
"monteverdi",30.0000000000000000
"dryver",30.0000000000000000
"amati",30.0000000000000000
"clapham",30.0000000000000000
"kladis",30.0000000000000000
"seiffert",30.5000000000000000
"duncan",31.0000000000000000
"blignaut",31.0000000000000000
"jerry_unser",31.0000000000000000
"sutton",31.3333333333333333
"mccarthy",31.4285714285714286
"francia",32.0000000000000000
"bauer",32.0000000000000000
"sutcliffe",32.0000000000000000
"duke",32.0000000000000000
"hattori",32.0000000000000000
"prinoth",32.0000000000000000
"natili",32.5000000000000000
"raphanel",32.7058823529411765
"george",33.0000000000000000
"bisch",33.0000000000000000
"langes",33.0000000000000000
"kozarowitzky",33.5000000000000000
"chaves",33.6153846153846154
"loof",34.0000000000000000
"dusio",34.0000000000000000
"gary_brabham",34.5000000000000000
"weidler",34.7000000000000000
"mcguire",35.0000000000000000
"joachim_winkelhock",36.5714285714285714
"boffa",38.0000000000000000
"bertaggia",38.8333333333333333
